"publication_year per year","contributors.contributorType: Descending",Count
2004,Supervisor,914
2004,Editor,882
2004,DataCurator,880
2004,Sponsor,369
2004,ResearchGroup,229
2004,ProjectLeader,109
2004,Researcher,78
2004,Producer,15
2004,WorkPackageLeader,5
2004,ProjectMember,3
2004,Funder,2
2004,RegistrationAuthority,1
2005,HostingInstitution,"21,266"
2005,DataManager,"11,785"
2005,DataCollector,"4,987"
2005,ContactPerson,"3,647"
2005,Other,"3,325"
2005,RelatedPerson,"1,927"
2005,Supervisor,"1,416"
2005,Editor,"1,226"
2005,Distributor,"1,164"
2005,RightsHolder,"1,107"
2005,RegistrationAgency,"1,024"
2005,Sponsor,410
2005,Researcher,388
2005,DataCurator,306
2005,ResearchGroup,265
2005,ProjectLeader,167
2005,Producer,26
2005,WorkPackageLeader,15
2005,ProjectMember,11
2005,Funder,6
2005,ProjectManager,1
2006,HostingInstitution,"53,947"
2006,DataManager,"12,517"
2006,DataCollector,"7,460"
2006,ContactPerson,"3,943"
2006,Other,"3,595"
2006,RelatedPerson,"2,341"
2006,Editor,"1,571"
2006,Supervisor,"1,422"
2006,Distributor,"1,245"
2006,RightsHolder,"1,210"
2006,RegistrationAgency,"1,123"
2006,Sponsor,606
2006,Researcher,592
2006,DataCurator,466
2006,ProjectLeader,382
2006,ResearchGroup,208
2006,Producer,40
2006,Funder,12
2006,ProjectMember,3
2006,ProjectManager,2
2006,WorkPackageLeader,1
2007,HostingInstitution,"68,011"
2007,DataManager,"13,242"
2007,Other,"5,983"
2007,DataCollector,"5,494"
2007,ContactPerson,"4,003"
2007,RelatedPerson,"3,297"
2007,Producer,"2,744"
2007,Distributor,"1,885"
2007,Supervisor,"1,618"
2007,Editor,"1,426"
2007,RightsHolder,"1,384"
2007,RegistrationAgency,"1,268"
2007,ProjectLeader,"1,196"
2007,Researcher,"1,142"
2007,DataCurator,648
2007,Sponsor,509
2007,ResearchGroup,304
2007,Funder,21
2007,ProjectMember,7
2007,WorkPackageLeader,6
2007,ProjectManager,2
2007,RegistrationAuthority,1
2008,HostingInstitution,"28,839"
2008,DataManager,"14,209"
2008,DataCollector,"9,164"
2008,ContactPerson,"4,237"
2008,Other,"4,022"
2008,RelatedPerson,"3,475"
2008,Researcher,"3,009"
2008,Producer,"2,464"
2008,Supervisor,"1,946"
2008,Editor,"1,606"
2008,Distributor,"1,449"
2008,RightsHolder,"1,360"
2008,RegistrationAgency,"1,314"
2008,Sponsor,751
2008,DataCurator,547
2008,ResearchGroup,438
2008,ProjectLeader,380
2008,ProjectMember,23
2008,Funder,16
2008,WorkPackageLeader,3
2009,HostingInstitution,"32,987"
2009,DataManager,"16,148"
2009,Other,"9,355"
2009,DataCollector,"8,269"
2009,ProjectLeader,"7,633"
2009,DataCurator,"7,559"
2009,Editor,"6,588"
2009,RelatedPerson,"4,536"
2009,Researcher,"4,168"
2009,ContactPerson,"4,012"
2009,Producer,"2,152"
2009,Supervisor,"2,097"
2009,RightsHolder,"1,389"
2009,Distributor,"1,357"
2009,RegistrationAgency,"1,256"
2009,Sponsor,"1,110"
2009,ResearchGroup,293
2009,ProjectMember,34
2009,Funder,16
2009,WorkPackageLeader,4
2009,ProjectManager,1
2009,RegistrationAuthority,1
2010,HostingInstitution,"38,346"
2010,DataManager,"20,713"
2010,Other,"13,667"
2010,ContactPerson,"12,746"
2010,Researcher,"10,651"
2010,Editor,"7,751"
2010,DataCollector,"7,613"
2010,RelatedPerson,"5,131"
2010,DataCurator,"4,671"
2010,Producer,"3,931"
2010,ProjectLeader,"3,863"
2010,RightsHolder,"2,707"
2010,Supervisor,"2,405"
2010,Distributor,"1,595"
2010,RegistrationAgency,"1,466"
2010,Sponsor,"1,174"
2010,ResearchGroup,284
2010,ProjectMember,55
2010,Funder,19
2010,WorkPackageLeader,4
2010,ProjectManager,2
2011,HostingInstitution,"29,410"
2011,DataManager,"21,975"
2011,ContactPerson,"13,650"
2011,Researcher,"10,094"
2011,DataCollector,"9,392"
2011,Other,"9,153"
2011,Editor,"7,629"
2011,RelatedPerson,"6,925"
2011,Producer,"5,747"
2011,DataCurator,"3,479"
